,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_nbl
0,162,7078.5625,7077.046875,269619.3219446143,2.5704220144543797,4539,162
0,163,7125.015625,7123.46875,269615.9742046845,3.3477399297989905,4567,163
0,164,7168.375,7166.828125,269613.3224947187,2.651709965779446,4594,164
0,165,7212.53125,7210.96875,269610.57277288183,2.7497218368807808,4620,165
0,166,7261.84375,7260.28125,269608.58966993965,1.9831029421766289,4648,166
0,167,7309.953125,7308.375,269606.06873400655,2.5209359331056476,4676,167
0,168,7356.859375,7355.265625,269604.4247304131,1.6440035934210755,4703,168
0,169,7400.109375,7398.484375,269601.04934100754,3.3753894055844285,4729,169
0,170,7443.65625,7442.0,269599.4093384439,1.6400025636539795,4758,170
0,171,7489.46875,7487.796875,269597.3543313361,2.055007107788697,4786,171
0,172,7536.71875,7535.03125,269595.65311656764,1.7012147684581578,4812,172
0,173,7582.65625,7580.96875,269592.90299581975,2.7501207478926517,4839,173
0,174,7631.140625,7629.4375,269591.05450584996,1.8484899697941728,4867,174
0,175,7682.671875,7680.921875,269588.8917840652,2.1627217847271822,4894,175
0,176,7734.421875,7732.671875,269586.7455522811,2.1462317841360345,4922,176
0,177,7783.234375,7781.46875,269584.7173814593,2.0281708217808045,4950,177
0,178,7831.59375,7829.796875,269582.9639069508,1.7534745085285977,4977,178
0,179,7880.34375,7878.515625,269581.0878163602,1.8760905906092376,5006,179
0,180,7929.953125,7928.109375,269578.9603317736,2.1274845865555108,5033,180
0,181,7984.09375,7982.25,269577.91168885503,1.048642918583937,5061,181
0,182,8031.796875,8029.953125,269574.6085940881,3.3030947669176385,5089,182
0,183,8082.125,8080.265625,269573.0699616637,1.538632424431853,5117,183
0,184,8133.828125,8131.96875,269570.93445162463,2.135510039050132,5145,184
0,185,8185.625,8183.75,269569.2531504137,1.6813012109487318,5173,185
0,186,8236.578125,8234.703125,269567.85519037955,1.3979600341408513,5199,186
0,187,8285.171875,8283.28125,269565.8375159028,2.0176744767231867,5227,187
0,188,8333.390625,8331.5,269564.20768300287,1.6298328999546356,5256,188
0,189,8380.03125,8378.125,269562.69103170687,1.5166512959985994,5284,189
0,190,8429.4375,8427.515625,269560.9222669136,1.7687647932907566,5313,190
0,191,8473.640625,8471.6875,269559.12952133885,1.7927455747267231,5342,191
0,192,8522.515625,8520.546875,269557.6216552798,1.50786605902249,5371,192
0,193,8568.046875,8566.0625,269556.25831259583,1.3633426839951426,5399,193
0,194,8616.859375,8614.859375,269554.58045552275,1.677857073082123,5426,194
0,195,8668.078125,8666.0625,269553.1175830244,1.462872498377692,5454,195
0,196,8715.859375,8713.84375,269551.8733472012,1.2442358231637627,5481,196
0,197,8766.140625,8764.125,269550.3813323527,1.4920148485107347,5509,197
0,198,8813.4375,8811.421875,269549.1155959993,1.265736353409011,5537,198
0,199,8864.984375,8862.96875,269547.9271865011,1.1884094981942326,5564,199
0,200,8912.078125,8910.0625,269546.50528644986,1.421900051238481,5590,200
0,201,8958.484375,8956.46875,269544.7677988275,1.7374876223620959,5616,201
0,202,9004.46875,9002.453125,269543.63669396,1.1311048674979247,5643,202
0,203,9048.765625,9046.734375,269542.2961163634,1.3405775966239162,5672,203
0,204,9099.390625,9097.359375,269541.1133632064,1.1827531569870189,5698,204
0,205,9145.40625,9143.359375,269539.8328125031,1.2805507032899186,5726,205
0,206,9191.640625,9189.59375,269538.5189036207,1.3139088823809288,5755,206
0,207,9236.578125,9234.515625,269537.5562120322,0.9626915885019116,5783,207
0,208,9280.15625,9278.09375,269536.1211155531,1.435096479137428,5812,208
0,209,9327.03125,9324.96875,269535.147331505,0.973784048052039,5841,209
0,210,9374.21875,9372.140625,269533.5540213388,1.5933101662085392,5869,210
0,211,9422.359375,9420.265625,269532.5616716909,0.9923496479168534,5898,211
0,212,9472.390625,9470.28125,269531.30177810777,1.2598935831338167,5926,212
0,213,9522.796875,9520.6875,269530.1708593663,1.130918741459027,5952,213
0,214,9573.1875,9571.0625,269529.1383021878,1.0325571785215288,5980,214
